Date,Close
2/12/2015 16:00,44.81
2/13/2015 16:00,44.5
2/17/2015 16:00,44.76
2/18/2015 16:00,45.27
2/19/2015 16:00,45.92
2/20/2015 16:00,47.44
2/23/2015 16:00,47.19
2/24/2015 16:00,48.03
2/25/2015 16:00,46.84
2/26/2015 16:00,45.92
2/27/2015 16:00,44.52
3/2/2015 16:00,45.39
3/3/2015 16:00,45.78
3/4/2015 16:00,45.15
3/5/2015 16:00,44.39
3/6/2015 16:00,43.78
3/9/2015 16:00,44.57
3/10/2015 16:00,43.42
3/11/2015 16:00,44.02
3/12/2015 16:00,45.33
3/13/2015 16:00,45.5
3/16/2015 16:00,46.16
3/17/2015 16:00,46.65
3/18/2015 16:00,45.81
3/19/2015 16:00,47.26
3/20/2015 16:00,47.42
3/23/2015 16:00,46.58
3/24/2015 16:00,46.03
3/25/2015 16:00,44.52
3/26/2015 16:00,44.09
3/27/2015 16:00,44.88
3/30/2015 16:00,45.56
3/31/2015 16:00,44.96
4/1/2015 16:00,43.26
4/2/2015 16:00,42.25
4/6/2015 16:00,41.76
4/7/2015 16:00,41.64
4/8/2015 16:00,43.29
4/9/2015 16:00,43.14
4/10/2015 16:00,43.23
4/13/2015 16:00,43.07
4/14/2015 16:00,43.08
4/15/2015 16:00,44.2
4/16/2015 16:00,44.99
4/17/2015 16:00,44.76
4/20/2015 16:00,45.73
4/21/2015 16:00,46.23
4/22/2015 16:00,46.53
4/23/2015 16:00,46.43
4/24/2015 16:00,46.98
4/27/2015 16:00,46.45
4/28/2015 16:00,46.2
4/29/2015 16:00,45.03
4/30/2015 16:00,44.64
5/1/2015 16:00,45.66
5/4/2015 16:00,45.29
5/5/2015 16:00,43.9
5/6/2015 16:00,44.06
5/7/2015 16:00,45.36
5/8/2015 16:00,46.17
5/11/2015 16:00,46.81
5/12/2015 16:00,46.1
5/13/2015 16:00,46.78
5/14/2015 16:00,47.4
5/15/2015 16:00,47
5/18/2015 16:00,47.37
5/19/2015 16:00,46.21
5/20/2015 16:00,43.62
5/21/2015 16:00,43.75
5/22/2015 16:00,43.18
5/26/2015 16:00,41.85
5/27/2015 16:00,42.53
5/28/2015 16:00,42.25
5/29/2015 16:00,42.92
6/1/2015 16:00,44.35
6/2/2015 16:00,43.21
6/3/2015 16:00,43.24
6/4/2015 16:00,42.92
6/5/2015 16:00,42.9
6/8/2015 16:00,40.75
6/9/2015 16:00,40.72
6/10/2015 16:00,41.06
6/11/2015 16:00,40.8
6/12/2015 16:00,41.14
6/15/2015 16:00,40.7
6/16/2015 16:00,40.57
6/17/2015 16:00,40.8
6/18/2015 16:00,41.35
6/19/2015 16:00,41.99
6/22/2015 16:00,42.93
6/23/2015 16:00,43.1
6/24/2015 16:00,42.66
6/25/2015 16:00,42.6
6/26/2015 16:00,42.35
6/29/2015 16:00,41.12
6/30/2015 16:00,41.08
7/1/2015 16:00,40.27
7/2/2015 16:00,40
7/6/2015 16:00,40.48
7/7/2015 16:00,41.18
7/8/2015 16:00,40.17
7/9/2015 16:00,40.55
7/10/2015 16:00,42.46
7/13/2015 16:00,43.37
7/14/2015 16:00,43.66
7/15/2015 16:00,43.99
7/16/2015 16:00,44.47
7/17/2015 16:00,44.94
7/20/2015 16:00,44.09
7/21/2015 16:00,44.65
7/22/2015 16:00,45.22
7/23/2015 16:00,45.16
7/24/2015 16:00,44.1
7/27/2015 16:00,43.93
7/28/2015 16:00,44.91
7/29/2015 16:00,44.18
7/30/2015 16:00,44.03
7/31/2015 16:00,44.34
8/3/2015 16:00,45.73
8/4/2015 16:00,46.35
8/5/2015 16:00,46.3
8/6/2015 16:00,46.04
8/7/2015 16:00,46.35
8/10/2015 16:00,46.32
8/11/2015 16:00,47.1
8/12/2015 16:00,46.6
8/13/2015 16:00,47.45
8/14/2015 16:00,47.63
8/17/2015 16:00,47.99
8/18/2015 16:00,47.36
8/19/2015 16:00,47.08
8/20/2015 16:00,45.71
8/21/2015 16:00,43.6
8/24/2015 16:00,42.15
8/25/2015 16:00,41.37
8/26/2015 16:00,43.7
8/27/2015 16:00,43.86
8/28/2015 16:00,43.94
8/31/2015 16:00,43.78
9/1/2015 16:00,43.77
9/2/2015 16:00,45.99
9/3/2015 16:00,45.06
9/4/2015 16:00,45.4
9/8/2015 16:00,46.59
9/9/2015 16:00,46.01
9/10/2015 16:00,46.49
9/11/2015 16:00,46.92
9/14/2015 16:00,46.89
9/15/2015 16:00,46.89
9/16/2015 16:00,47.09
9/17/2015 16:00,47.49
9/18/2015 16:00,46.67
9/21/2015 16:00,47.25
9/22/2015 16:00,46.46
9/23/2015 16:00,46.59
9/24/2015 16:00,45.91
9/25/2015 16:00,46.04
9/28/2015 16:00,44.66
9/29/2015 16:00,44.04
